Density,Noise,OP,Error
4.00,0.00,1.00,-0.00
4.00,0.25,1.00,0.00
4.00,0.50,0.98,0.00
4.00,0.75,0.96,0.00
4.00,1.00,0.93,0.00
4.00,1.25,0.89,0.00
4.00,1.50,0.84,0.00
4.00,1.75,0.71,0.01
4.00,2.00,0.63,0.02
4.00,2.25,0.62,0.01
4.00,2.50,0.57,0.00
4.00,2.75,0.34,0.05
4.00,3.00,0.36,0.02
4.00,3.25,0.37,0.01
4.00,3.50,0.22,0.02
4.00,3.75,0.18,0.01
4.00,4.00,0.14,0.00
4.00,4.25,0.14,0.00
4.00,4.50,0.07,0.00
4.00,4.75,0.06,0.00
4.00,5.00,0.05,0.00
4.00,5.25,0.04,0.00
4.00,5.50,0.07,0.00
4.00,5.75,0.02,0.00
4.00,6.00,0.03,0.00
4.00,6.25,0.04,0.00
4.00,6.50,0.04,0.00
4.00,6.75,0.04,0.00
4.00,7.00,0.05,0.00
